"51,32517544"
"74,70139846"
"101,4719713"
"38,0121345"
"41,64740029"
"121,6870329"
"91,43149222"
"99,7279423"
"132,9618947"
"105,9083672"
"129,3372154"
"103,2858757"
"81,58603045"
"112,337667"
"77,34309741"
"48,09356654"
"105,0271225"
"87,31623456"
"102,858482"
"68,21813013"
"107,439889"
"141,6563579"
"98,19638803"
"92,40830049"
"106,6714543"
"126,6011191"
"60,34907936"
"55,47331622"
"107,938461"
"73,91054925"
"117,5754127"
"110,2566544"
"69,18461733"
"132,6164733"
"97,75743404"
"47,61525793"
"107,1267089"
"109,4583182"
"114,0547363"
"63,69744857"
"95,64081287"
"69,48557143"
"77,01967541"
"128,9964345"
"82,90170126"
"131,5914107"
"88,17639931"
"90,38662917"
"85,75656518"
"79,48372009"
"99,07124056"
"70,6093572"
"68,9302369"
"97,88502284"
"144,5786537"
"85,69460584"
"134,1268792"
"132,0264431"
"79,6933109"
"113,0213264"
"87,05721611"
"120,975822"
"92,44592578"
"63,20407452"
"80,546219"
"111,4712253"
"99,82939814"
"146,6486318"
"77,41833271"
"106,9373338"
"78,15219041"
"135,9750059"
"106,9725732"
"104,9814408"
"98,77637173"
"104,2726917"
"109,9578854"
"101,5798882"
"99,45748742"
"137,9859159"
"111,3557079"
"125,3894943"
"126,9138404"
"127,1299486"
"114,5928839"
"46,66717036"
"91,34752069"
"144,8976349"
"61,73407077"
"110,228789"
"114,9869836"
"114,3331302"
"111,7073936"
"102,7731002"
"108,3077662"
"76,0177822"
"87,73715293"
"40,34060372"
"145,8280276"
"98,68136355"
"82,70899648"
"75,54404614"
"108,3116434"
"78,62577274"
"90,58561976"
"154,2479902"
"43,71553885"
"104,8585857"
"100,1459648"
"117,2586268"
"97,65736553"
"108,6629637"
"123,2391162"
"82,03184517"
"86,23161772"
"141,1716516"
"84,32728783"
"128,3216755"
"45,99425899"
"89,16984678"
"79,31250113"
"85,25650104"
"121,7098432"
"130,1257702"
"102,7736169"
"127,3775592"
"158,5856829"
"151,7611818"
"98,04727385"
"131,7167633"
"90,27354487"
"100,3527036"
"93,91398291"
"78,05161586"
"98,12461457"
"134,5413272"
"127,1959997"
"86,14153384"
"114,6532241"
"109,9051438"
"134,861406"
"103,6857882"
"98,7965037"
"93,88501686"
"94,1980116"
"89,44210395"
"109,3377988"
"119,3646313"
"122,7037306"
"63,55525428"
"99,75243365"
"80,40636483"
"101,4147105"
"116,957313"
"74,45170593"
"105,1401295"
"82,71543337"
"83,32893548"
"127,1582116"
"71,74310931"
"106,3769666"
"119,9608587"
"74,27996103"
"117,4722462"
"125,7135497"
"103,6048608"
"75,97241609"
"104,460242"
"81,86222802"
"114,0175075"
"110,2302544"
"89,66152663"
"117,3613361"
"119,3131082"
"59,70594748"
"100,4164088"
"94,83486345"
"76,89331115"
"62,33144975"
"114,7360355"
"71,2576288"
"33,79451105"
"112,5432662"
"105,9805566"
"165,7410991"
"115,4149287"
"116,554006"
"109,0078966"
"76,21024104"
"104,4574323"
"99,09181229"
"106,6087347"
"98,47940474"
"111,4342913"
"80,86564941"
"56,8879184"
"145,5615817"
"88,9661334"
"96,94601122"
"132,871379"
"141,8477498"
